datetime_entry,datetime_exit,symbol,direction,timeframe,expiration_min,account_type,strategy_name,entry_reference,payout,stake,mg_level,result,pnl,balance_after
2025-09-20T22:48:00-03:00,2025-09-20T22:49:00.215943-03:00,EURUSD-OTC,call,M1,1,REAL,ghost_rzim,13099779939,87.0,10.0,0,WIN,8.7,546.77
2025-09-20T22:50:00-03:00,2025-09-20T22:55:00.297535-03:00,EURUSD-OTC,call,M5,5,REAL,ghost_rzim,13099786032,84.0,10.0,0,WIN,8.7,555.47
2025-09-20T22:55:00-03:00,2025-09-20T22:56:00.391777-03:00,GBPUSD-OTC,put,M1,1,REAL,fluxopro_rzim,13099799784,87.0,10.0,0,WIN,8.7,564.17
2025-09-20T23:00:00-03:00,2025-09-20T23:05:00.248315-03:00,EURUSD-OTC,call,M5,5,REAL,ghost_rzim,13099813370,84.0,10.0,0,LOSS,-10.0,554.17
2025-09-20T23:05:00-03:00,2025-09-20T23:06:00.448681-03:00,GBPUSD-OTC,put,M1,1,REAL,ghost_rzim,13099827189,87.0,13.79,1,LOSS,-13.79,540.38
2025-09-20T23:07:00-03:00,2025-09-20T23:08:00.445742-03:00,EURUSD-OTC,put,M1,1,REAL,ghost_rzim,13099832679,87.0,29.64,2,LOSS,-29.64,510.74
2025-09-20T23:10:00-03:00,2025-09-20T23:15:00.245637-03:00,AUDUSD-OTC,call,M5,5,REAL,ghost_rzim,13099841122,84.0,65.99,3,LOSS,-65.99,444.75
2025-09-20T23:15:00-03:00,2025-09-20T23:16:00.405401-03:00,USDCHF-OTC,put,M1,1,REAL,ghost_rzim,13099854654,87.0,139.56,4,WIN,121.42,566.17
2025-09-20T23:16:00-03:00,2025-09-20T23:17:00.213348-03:00,EURUSD-OTC,call,M1,1,REAL,diamond_rzim,13099857473,87.0,10.0,0,LOSS,-10.0,556.17
2025-09-20T23:20:00-03:00,2025-09-20T23:25:00.395369-03:00,EURUSD-OTC,put,M5,5,REAL,diamond_rzim,13099868213,84.0,14.29,1,LOSS,-14.29,541.88
2025-09-20T23:25:00-03:00,2025-09-20T23:26:00.390684-03:00,GBPUSD-OTC,call,M1,1,REAL,ghost_rzim,13099881894,87.0,30.22,2,LOSS,-30.22,511.66
2025-09-20T23:31:00-03:00,2025-09-20T23:32:00.272818-03:00,AUDUSD-OTC,call,M1,1,REAL,ghost_rzim,13099898362,84.0,67.27,3,LOSS,-67.27,444.39
2025-09-20T23:32:00-03:00,2025-09-20T23:33:00.288693-03:00,EURUSD-OTC,call,M1,1,REAL,ghost_rzim,13099901311,87.0,142.28,4,WIN,123.78,568.17
2025-09-20T23:35:00-03:00,2025-09-20T23:40:00.270538-03:00,GBPUSD-OTC,put,M5,5,REAL,ghost_rzim,13099909108,84.0,10.0,0,WIN,8.7,576.87
2025-09-20T23:41:00-03:00,2025-09-20T23:42:00.233758-03:00,EURUSD-OTC,call,M1,1,REAL,ghost_rzim,13099925195,87.0,10.0,0,LOSS,-10.0,566.87
2025-09-20T23:45:00-03:00,2025-09-20T23:50:00.261852-03:00,EURUSD-OTC,put,M5,5,REAL,ghost_rzim,13099935400,84.0,14.29,1,LOSS,-14.29,552.58
2025-09-20T23:50:00-03:00,2025-09-20T23:51:00.445870-03:00,GBPUSD-OTC,call,M1,1,REAL,ghost_rzim,13099948373,87.0,30.22,2,WIN,26.29,578.87
2025-09-20T23:52:00-03:00,2025-09-20T23:53:00.127460-03:00,GBPUSD-OTC,call,M1,1,REAL,achiles_rzim,13099953466,87.0,10.0,0,DRAW,0.0,578.87
2025-09-20T23:55:00-03:00,2025-09-21T00:00:00.352239-03:00,GBPUSD-OTC,call,M5,5,REAL,ghost_rzim,13099960315,84.0,10.0,0,LOSS,-10.0,568.87
2025-09-21T00:01:00-03:00,2025-09-21T00:02:00.239529-03:00,EURUSD-OTC,call,M1,1,REAL,diamond_rzim,13099974498,87.0,13.79,1,LOSS,-13.79,555.08
2025-09-21T00:05:00-03:00,2025-09-21T00:10:00.235308-03:00,EURUSD-OTC,put,M5,5,REAL,achiles_rzim,13099984264,84.0,30.7,2,WIN,26.71,581.79
2025-09-21T00:10:00-03:00,2025-09-21T00:11:00.265293-03:00,GBPUSD-OTC,put,M1,1,REAL,ghost_rzim,13099996628,87.0,10.0,0,LOSS,-10.0,571.79
2025-09-21T00:11:00-03:00,2025-09-21T00:12:00.394695-03:00,EURUSD-OTC,put,M1,1,REAL,ghost_rzim,13099999144,87.0,13.79,1,WIN,12.0,583.79
2025-09-21T00:15:00-03:00,2025-09-21T00:20:00.157385-03:00,EURUSD-OTC,put,M5,5,REAL,achiles_rzim,13100009229,84.0,10.0,0,LOSS,-10.0,573.79
2025-09-21T00:20:00-03:00,2025-09-21T00:21:00.228648-03:00,GBPUSD-OTC,put,M1,1,REAL,ghost_rzim,13100021573,87.0,13.79,1,WIN,12.0,585.79
2025-09-21T00:25:00-03:00,2025-09-21T00:30:00.164234-03:00,EURUSD-OTC,call,M5,5,REAL,ghost_rzim,13100033050,84.0,10.0,0,WIN,8.7,594.49
2025-09-21T00:30:00-03:00,2025-09-21T00:31:00.257833-03:00,GBPUSD-OTC,call,M1,1,REAL,achiles_rzim,13100044287,87.0,10.0,0,LOSS,-10.0,584.49
2025-09-21T00:35:00-03:00,2025-09-21T00:40:00.244552-03:00,GBPUSD-OTC,put,M5,5,REAL,diamond_rzim,13100055028,84.0,14.29,1,LOSS,-14.29,570.2
2025-09-21T00:40:00-03:00,2025-09-21T00:41:00.205280-03:00,EURUSD-OTC,put,M1,1,REAL,ghost_rzim,13100067623,87.0,30.22,2,LOSS,-30.22,539.98
2025-09-21T00:45:00-03:00,2025-09-21T00:50:00.210859-03:00,EURUSD-OTC,call,M5,5,REAL,ghost_rzim,13100080018,84.0,67.27,3,WIN,58.52,598.5
2025-09-21T00:50:00-03:00,2025-09-21T00:51:00.215345-03:00,GBPUSD-OTC,put,M1,1,REAL,diamond_rzim,13100093082,87.0,10.0,0,WIN,8.7,607.2
2025-09-21T00:51:00-03:00,2025-09-21T00:52:00.344057-03:00,EURUSD-OTC,call,M1,1,REAL,ghost_rzim,13100095572,87.0,10.0,0,WIN,8.7,615.9
2025-09-21T00:55:00-03:00,2025-09-21T01:00:00.219074-03:00,EURUSD-OTC,call,M5,5,REAL,ghost_rzim,13100104827,84.0,10.0,0,LOSS,-10.0,605.9
2025-09-21T01:00:00-03:00,2025-09-21T01:01:00.368289-03:00,GBPUSD-OTC,put,M1,1,REAL,fluxopro_rzim,13100118813,87.0,13.79,1,LOSS,-13.79,592.11
2025-09-21T01:01:00-03:00,2025-09-21T01:02:00.204195-03:00,EURUSD-OTC,call,M1,1,REAL,ghost_rzim,13100121489,87.0,29.64,2,WIN,25.79,617.9
2025-09-21T01:02:00-03:00,2025-09-21T01:03:00.099173-03:00,GBPUSD-OTC,call,M1,1,REAL,ghost_rzim,13100123939,87.0,10.0,0,LOSS,-10.0,607.9
2025-09-21T01:04:00-03:00,2025-09-21T01:05:00.211342-03:00,EURUSD-OTC,put,M1,1,REAL,diamond_rzim,13100128566,87.0,13.79,1,WIN,12.0,619.9
2025-09-21T01:05:00-03:00,2025-09-21T01:06:00.138610-03:00,GBPUSD-OTC,put,M1,1,REAL,ghost_rzim,13100131182,87.0,10.0,0,WIN,8.7,628.6
2025-09-21T01:10:00-03:00,2025-09-21T01:15:00.241685-03:00,GBPUSD-OTC,put,M5,5,REAL,ghost_rzim,13100142894,84.0,10.0,0,LOSS,-10.0,618.6
2025-09-21T01:20:00-03:00,2025-09-21T01:25:00.115352-03:00,EURUSD-OTC,call,M5,5,REAL,diamond_rzim,13100167374,84.0,14.29,1,WIN,12.43,631.03
2025-09-21T01:25:00-03:00,2025-09-21T01:26:00.274942-03:00,GBPUSD-OTC,call,M1,1,REAL,ghost_rzim,13100179437,87.0,10.0,0,LOSS,-10.0,621.03
2025-09-21T01:30:00-03:00,2025-09-21T01:35:00.150965-03:00,GBPUSD-OTC,put,M5,5,REAL,ghost_rzim,13100190496,84.0,14.29,1,LOSS,-14.29,606.74
2025-09-21T01:35:00-03:00,2025-09-21T01:36:00.225985-03:00,EURUSD-OTC,put,M1,1,REAL,achiles_rzim,13100201984,87.0,30.22,2,WIN,26.29,633.03
2025-09-21T01:40:00-03:00,2025-09-21T01:45:00.146150-03:00,EURUSD-OTC,put,M5,5,REAL,diamond_rzim,13100212813,84.0,10.0,0,WIN,8.7,641.73
2025-09-21T01:45:00-03:00,2025-09-21T01:46:00.096013-03:00,GBPUSD-OTC,put,M1,1,REAL,ghost_rzim,13100224832,87.0,10.0,0,LOSS,-10.0,631.73
2025-09-21T01:46:00-03:00,2025-09-21T01:47:00.370616-03:00,EURUSD-OTC,call,M1,1,REAL,ghost_rzim,13100227379,87.0,13.79,1,LOSS,-13.79,617.94
2025-09-21T01:50:00-03:00,2025-09-21T01:55:00.082713-03:00,GBPUSD-OTC,call,M5,5,REAL,achiles_rzim,13100235943,84.0,30.7,2,LOSS,-30.7,587.24
2025-09-21T01:56:00-03:00,2025-09-21T01:57:00.075359-03:00,EURUSD-OTC,put,M1,1,REAL,achiles_rzim,13100248384,87.0,64.93,3,WIN,56.49,643.73
2025-09-21T02:00:00-03:00,2025-09-21T02:05:00.164548-03:00,EURUSD-OTC,put,M5,5,REAL,ghost_rzim,13100255944,84.0,10.0,0,LOSS,-10.0,633.73
2025-09-21T02:05:00-03:00,2025-09-21T02:06:00.134409-03:00,GBPUSD-OTC,call,M1,1,REAL,diamond_rzim,13100266601,87.0,13.79,1,LOSS,-13.79,619.94
2025-09-21T02:06:00-03:00,2025-09-21T02:07:00.242723-03:00,EURUSD-OTC,call,M1,1,REAL,ghost_rzim,13100268487,87.0,29.64,2,LOSS,-29.64,590.3
2025-09-21T02:10:00-03:00,2025-09-21T02:15:00.199462-03:00,EURUSD-OTC,call,M5,5,REAL,diamond_rzim,13100277175,84.0,65.99,3,WIN,57.41,647.71
2025-09-21T02:15:00-03:00,2025-09-21T02:16:00.326907-03:00,GBPUSD-OTC,put,M1,1,REAL,achiles_rzim,13100287335,87.0,10.0,0,LOSS,-10.0,637.71
2025-09-21T02:16:00-03:00,2025-09-21T02:17:00.152092-03:00,EURUSD-OTC,call,M1,1,REAL,ghost_rzim,13100289406,87.0,13.79,1,LOSS,-13.79,623.92
2025-09-21T02:20:00-03:00,2025-09-21T02:25:00.192651-03:00,GBPUSD-OTC,put,M5,5,REAL,achiles_rzim,13100296006,84.0,30.7,2,WIN,26.71,650.63
2025-09-21T02:30:00-03:00,2025-09-21T02:35:00.245839-03:00,EURUSD-OTC,call,M5,5,REAL,diamond_rzim,13100315384,84.0,10.0,0,LOSS,-10.0,640.63
2025-09-21T02:35:00-03:00,2025-09-21T02:36:00.230263-03:00,GBPUSD-OTC,call,M1,1,REAL,achiles_rzim,13100326060,87.0,13.79,1,LOSS,-13.79,626.84
2025-09-21T02:37:00-03:00,2025-09-21T02:38:00.127935-03:00,GBPUSD-OTC,put,M1,1,REAL,ghost_rzim,13100330193,87.0,29.64,2,LOSS,-29.64,597.2
2025-09-21T02:40:00-03:00,2025-09-21T02:45:00.083869-03:00,GBPUSD-OTC,call,M5,5,REAL,ghost_rzim,13100336541,84.0,65.99,3,WIN,57.41,654.61
2025-09-21T02:46:00-03:00,2025-09-21T02:47:00.145294-03:00,GBPUSD-OTC,put,M1,1,REAL,ghost_rzim,13100349349,87.0,10.0,0,WIN,8.7,663.31
2025-09-21T02:51:00-03:00,2025-09-21T02:52:00.214796-03:00,EURUSD-OTC,put,M1,1,REAL,achiles_rzim,13100358606,87.0,10.0,0,LOSS,-10.0,653.31
2025-09-21T02:55:00-03:00,2025-09-21T03:00:00.183761-03:00,EURUSD-OTC,call,M5,5,REAL,ghost_rzim,13100365037,84.0,14.29,1,WIN,12.43,665.74
2025-09-21T03:00:00-03:00,2025-09-21T03:01:00.116539-03:00,GBPUSD-OTC,call,M1,1,REAL,diamond_rzim,13100374962,87.0,10.0,0,LOSS,-10.0,655.74
2025-09-21T03:01:00-03:00,2025-09-21T03:02:00.156028-03:00,EURUSD-OTC,call,M1,1,REAL,diamond_rzim,13100376768,87.0,13.79,1,WIN,12.0,667.74
2025-09-21T03:05:00-03:00,2025-09-21T03:10:00.146890-03:00,EURUSD-OTC,call,M5,5,REAL,ghost_rzim,13100383549,84.0,10.0,0,LOSS,-10.0,657.74
2025-09-21T03:11:00-03:00,2025-09-21T03:12:00.083690-03:00,GBPUSD-OTC,call,M1,1,REAL,ghost_rzim,13100393581,87.0,13.79,1,LOSS,-13.79,643.95
2025-09-21T03:15:00-03:00,2025-09-21T03:20:00.078843-03:00,GBPUSD-OTC,call,M5,5,REAL,diamond_rzim,13100399788,84.0,30.7,2,LOSS,-30.7,613.25
2025-09-21T03:21:00-03:00,2025-09-21T03:22:00.147862-03:00,EURUSD-OTC,call,M1,1,REAL,diamond_rzim,13100409804,87.0,64.93,3,LOSS,-64.93,548.32
